119	Uzbekistan	Samarkand State University named after Sharof Rashidov
120	Uzbekistan	Uzbekistan State Institute of Arts and Culture
121	Uzbekistan	Termiz University of Economics and Service
122	Azerbaijan	Khazar University
123	Azerbaijan	Odlar Yurdu University
124	Azerbaijan	Lankaran State University
125	Azerbaijan	Baku Eurasian University
126	Azerbaijan	Azerbaijan State University of Culture and Arts
127	Azerbaijan	Azerbaijan State Pedagogical University
128	Azerbaijan	Azerbaijan Tourism and Management University
129	Azerbaijan	Baku Higher Oil School
130	Azerbaijan	Nakhchivan State University
131	Azerbaijan	Azerbaijan State Oil and Industry University
132	Azerbaijan	Azerbaijan Technical University
133	Azerbaijan	Karabakh University
134	Kazakhstan	East Kazakhstan Technical University
135	Kazakhstan	International Taraz University
136	Kazakhstan	Kazakh American Free University
137	Kazakhstan	Kazakh National Academy of Choreography
138	Turkiye	Süleyman Demirel University
139	Turkiye	Konya Technical University
140	Turkiye	Necmettin Erbakan University
141	Turkiye	Karadeniz Technical University
142	Turkiye	Düzce University
143	Turkiye	Ağrı İbrahim Çeçen University
144	Turkiye	Yozgat Bozok University
145	Turkiye	Samsun University
146	Turkiye	Kocaeli University
147	Turkiye	Sivas University of Science and Technology
148	Turkiye	Van Yüzüncü Yıl University
149	Turkiye	Kocaeli Health and Technology University
150	Turkiye	Adana Alparslan Türkeş Science and Technology University
151	Turkiye	Fatih Sultan Mehmet Vakıf University
152	Turkiye	Muş Alparslan University
153	Turkiye	Yeditepe University
154	Turkiye	Akdeniz University
155	Turkiye	Bartın University
156	Turkiye	Tarsus University
157	Turkiye	Gaziantep University
158	Turkiye	Çağ University
159	Turkiye	Izmir Institute of Technology
160	Turkiye	Sanko University
161	Turkiye	Üsküdar University
162	Turkiye	Sinop University
163	Turkiye	Istanbul Gelişim University
164	Turkiye	Afyon Kocatepe University
165	Turkiye	Uşak University
166	Turkiye	University of Health Sciences 
167	Uzbekistan	Nordic International University
168	Uzbekistan	Diplomat University
169	Uzbekistan	Zarmed University
170	Uzbekistan	Uzbek National Music Art Institute
171	Uzbekistan	The International School of Finance Technology and Science
172	Uzbekistan	Kokand State University
173	Hungary	University of Miskolc
174	Hungary	Obuda University
175	Hungary	Szechenyi Istvan University of Györ
